coin,price
Dragonchain,$0.09114898
Digitex Futures Exchange,$0.02870501
Civic,$0.07005956
SmartCash,$0.01132669
TokenPay,$1.17
Bread,$0.391382
Maximine,$0.04002303
TokenClub,$0.04312707
IoTeX,$0.00904521
FUSION,$0.736510
Wagerr,$0.108251
Ether Zero,$0.109895
Aragon,$0.659859
Apollo,$0.00146352
ROM Token,$0.00066649
Mainframe,$0.00322106
Bankera,$0.00190943
Infinity Economics,$0.00230843
Vertcoin,$0.416356
MediBlocX,$0.00623086
Quant,$2.03
REN,$0.02627321
Grin,$2.05
Mithril,$0.03885559
Einsteinium,$0.08993162
BitKan,$0.00366775
Eidoo,$0.575747
Odyssey,$0.00214667
Metal,$0.425892
Telcoin,$0.00059041
Neblio,$1.23
Celer Network,$0.00778110
UTRUST,$0.04021120
Robotina,$0.07235467
Gnosis,$16.28
FLO,$0.118630
TokenCard,$0.552620
CRYPTO20,$0.510957
Own,$0.220738
Gifto,$0.02617928
Nexus,$0.285317
Skycoin,$1.13
Bit-Z Token,$0.09440233
Smartlands,$3.32
Matrix AI Network,$0.112855
OneRoot Network,$0.05876335
Tael,$0.317676
Asch,$0.134684
Fantom,$0.00809448
Moeda Loyalty Points,$0.882620
Dropil,$0.00074903
Dynamic Trading Rights,$0.01390053
NKN,$0.04400391
Request,$0.02109658
Namecoin,$0.961192
United Traders Token,$0.382674
Viacoin,$0.648420
Titan Coin,$0.01673044
LINA,$0.05315748
Bitcore,$0.828097
Hycon,$0.00778342
Quantum Resistant Ledger,$0.212856
Achain,$0.01686077
Ignis,$0.01896657
SwftCoin,$0.00286692
Key,$0.00340437
BitCapitalVendor,$0.01836759
SmartMesh,$0.00838649
STASIS EURS,$1.11
Dentacoin,$0.00004115
Blocknet,$2.32
Raiden Network Token,$0.263861
Spectrecoin,$0.590604
Genesis Vision,$2.91
OST,$0.02066489
UnlimitedIP,$0.00955183
Ethos,$0.107563
Scroll Token,$0.06369055
GoChain,$0.01735452
ALIS,$0.04909062
Cube,$0.00189906
Everex,$0.630702
Peercoin,$0.477620
Sirin Labs Token,$0.02332197
Fetch AI,$0.105931
Streamr DATAcoin,$0.01868813
YOU Chain,$0.01617958
High Performance Blockchain,$0.314239
MediShares,$0.01076516
HiCoin,$0.00117875
Ripio Credit Network,$0.02354214
AdEx,$0.126472
Tokenize Xchange,$0.145170
Crypterium,$0.140060
Time New Bank,$0.00438069
NavCoin,$0.175856
Endor Protocol Token,$0.01815587
Storm,$0.00248198
CoinUs,$0.02114967
Burst,$0.00547370
Content Neutrality Network,$0.00019379
FOAM,$0.03345949
SafeInsure,$4.54
PumaPay,$0.00048710
Red Pulse Phoenix,$0.01206006
Insolar,$0.298259
Everus,$0.02176540
Cosmo Coin,$0.02219591
IHT Real Estate Protocol,$0.01582068
EmerCoin,$0.236280
Egretia,$0.00269580
Bluzelle,$0.05001556
Telos,$0.05007143
BTU Protocol,$0.205567
LockTrip,$0.625749
Metronome,$1.03
RChain,$0.02601946
Clipper Coin Capital,$0.00386086
Stakenet,$0.123962
Ruff,$0.01072019
DigitalNote,$0.00138197
Hydro,$0.00134253
CREDITS,$0.06081740
DeepBrain Chain,$0.00307080
PepeCash,$0.01390924
BLOCKv,$0.00420202
Edgeless,$0.08552185
DxChain Token,$0.00026759
Yuan Chain Coin,$0.00746745
C3 Wallet,$0.00088157
Infinitus Token,$1.68
B2BX,$0.588793
Envion,$0.09388514
DMarket,$0.188176
THEKEY,$0.00186569
SALT,$0.113390
AIDUS COIN,$0.01644847
Netrum,$4.77
XYO Network,$0.00175261
Medibloc,$0.00309448
SONM,$0.02273142
OriginTrail,$0.03153032
ETHLend,$0.00804578
Universa,$0.00303383
Spendcoin,$0.05358260
DATA,$0.00115660
district0x,$0.01526595
Legolas Exchange,$0.06926116
Po.et,$0.00383879
BEAM,$0.483711
BnkToTheFuture,$0.02621150
Lympo,$0.01045309
eosDAC,$0.00892187
Ulord,$0.05745758
Loki Network,$0.214490
Steem Dollars,$0.938718
DAPS Token,$0.00015361
Gulden,$0.01972873
Bezant,$0.01803350
ZrCoin,$2.14
PayPie,$0.09719496
LEOcoin,$0.07790605
IoT Chain,$0.126681
Dero,$1.07
Scry.info,$0.01855857
Pillar,$0.03143055
CanonChain,$0.01493998
Ubiq,$0.188942
Tripio,$0.00349522
SingularDTV,$0.01358877
Vite,$0.02395119
NIX,$0.184844
HitChain,$0.00012975
Linda,$0.00060781
XMax,$0.00030733
BitBay,$0.00766531
Graft Blockchain,$0.00635986
Zclassic,$1.34
AppCoins,$0.07227555
Pchain,$0.01036849
LBRY Credits,$0.03298215
QLC Chain,$0.03159683
Genaro Network,$0.02121877
Aeron,$0.375677
Zipper Network,$0.00046309
Content Value Network,$0.01754168
Internet Node Token,$0.02246425
DAOstack,$0.181318
VIBE,$0.03665838
SelfKey,$0.00278119
VIPSTARCOIN,$0.00011533
Refereum,$0.00191033
Tierion,$0.01657848
Ternio,$0.01636833
Matic Network,$0.00326734
Jibrel Network,$0.04149918
Game,$0.00919758
DeepOnion,$0.321798
APIS,$0.00187479
Pascalcoin,$0.260525
Waves Community Token,$0.680999
Viberate,$0.03978348
Yee,$0.00250874
GameCredits,$0.09436205
LATOKEN,$0.09854113
Seele,$0.00956641
All Sports,$0.00569576
Substratum,$0.02687630
StableUSD,$1.05
Bolt,$0.01869044
Blue Whale,$0.00015472
Restart Energy,$0.01440538
Synthetix,$0.08459834
TaaS,$0.795338
Wowbit,$0.01530561
FansTime,$0.00122944
STACS Token,$0.01194379
Coinbene Token,$0.02990640
Agrello,$0.07981365
1irstcoin,$0.868452
BitTube,$0.03931188
IDEX Token,$0.03171311
Monetha,$0.01836125
Primecoin,$0.244078
Dock,$0.01198976
DUO Network,$0.516160
bitCNY,$0.148108
Litecoin Cash,$0.00975480
MyToken,$0.00321210
Fortuna,$0.01251008
Swarm Fund,$0.07532471
Penta Network Token,$0.00028260
OVCODE,$0.287692
Lunyr,$2.19
Mossland,$0.04784796
Jex Token,$0.00584652
QunQun,$0.00907811
CommerceBlock Token,$0.03333680
First Blood,$0.07504709
AirSwap,$0.03411454
Mobius,$0.01099453
LIFE,$0.00013302
BlackCoin,$0.08913081
CPChain,$0.01487008
POA Network,$0.02527495
Decent,$0.101333
WePower,$0.00919794
Blox,$0.00815652
Electra,$0.00018664
Pirate Chain,$0.05888481
XsCoin,$0.179298
Travala.com,$0.151308
Maecenas,$0.09193892
ZelCash,$0.08365644
I/O Coin,$0.299465
LITEX,$0.00565771
ION,$0.259865
YOYOW,$0.01775322
Nimiq,$0.00135173
SunContract,$0.04236338
Measurable Data Token,$0.00970170
Counterparty,$1.95
ATN,$0.05858521
Ambrosus,$0.03489974
Ubique Chain of Things (UCOT),$0.00957538
COSS,$0.03823588
Blockport,$0.09412197
Nucleus Vision,$0.00171474
Napoleon X,$0.196219
Grid+,$0.154574
TurtleCoin,$0.00011514
Hut34 Entropy,$0.430473
Divi,$0.00481409
DaTa eXchange Token,$0.02168902
MobileGo,$0.06333357
Usechain,$0.00109163
ContentBox,$0.00516099
Feathercoin,$0.02349010
adToken,$0.00592544
Covesting,$0.261848
BABB,$0.00015570
Mercury,$0.04683178
Stealth,$0.146803
BOScoin,$0.01063350
Bitcoin Green,$0.556590
SIX Network,$0.01698355
GoldenFever,$9.77
Ink,$0.01004041
Bottos,$0.00842869
HalalChain,$0.01502722
ECC,$0.00018196
Shift,$0.346092
SpankChain,$0.00858140
Digital Ticks,$0.243048
Crypto Harbor,$0.00010960
PACcoin,$0.00064798
MultiVAC,$0.00620450
Slate,$0.00078375
Wings,$0.04916870
Melon,$7.08
Blackmoon Crypto,$0.141569
Potcoin,$0.01950612
Expanse,$0.198067
Docademic,$0.00659185
Hyperion,$0.05386192
Peerplays,$0.953062
VEIL,$0.244555
NAGA,$0.05496002
DomRaider,$0.00411272
BeeKan / Beenews,$0.00105610
ChatCoin,$0.00604651
SpaceChain (ERC-20),$0.00834233
Pandacoin,$0.00012189
GET Protocol,$0.291951
WIBSON,$0.00159421
Zeepin,$0.00811194
XtraBYtes,$0.00933995
Unikoin Gold,$0.02782113
Etherparty,$0.00749879
OpenANX,$0.168542
Primas,$0.07709610
Digix Gold,$39.52
Hashgard,$0.00007503
Airbloc,$0.01558468
BlockCDN,$0.01160693
Apex Network,$0.00861544
ZCore,$0.118096
Dacsee,$0.00513674
Linkeye,$0.00664553
Gene Source Code Token,$0.00865317
DecentBet,$0.02916970
Rubycoin,$0.141527
Zen Protocol,$0.146604
Global Cryptocurrency,$0.00231804
VeriCoin,$0.118692
ZMINE,$0.01291322
Lamden,$0.02350513
Hxro,$0.05859957
Polybius,$0.933229
LoyalCoin,$0.00074199
Darico Ecosystem Coin,$0.05784089
Covalent,$0.00226699
Lendingblock,$0.00465201
BaaSid,$0.00103732
Hempcoin,$0.01444283
CVCoin,$0.240271
Propy,$0.184378
Radium,$0.977185
Cloudbric,$0.00554803
Gridcoin,$0.00851685
GSENetwork,$0.00017714
EurocoinToken,$0.107005
Myriad,$0.00212123
Semux,$0.326529
EDRCoin,$0.937692
LTO Network,$0.08383800
Delphy,$0.06159399
Zeusshield,$0.00174512
Zebi,$0.00677081
Howdoo,$0.01404349
BlockMason Credit Protocol,$0.03999001
ColossusXT,$0.00029193
Cashaa,$0.00603252
AidCoin,$0.05966362
PolySwarm,$0.00211329
ZPER,$0.00223949
AC3,$0.00607171
Nexty,$0.00002020
AAAchain,$0.00070301
KickCoin,$0.00320122
Tokes Platform,$0.322425
DADI,$0.04613924
TE-FOOD,$0.00567029
VegaWallet Token,$0.162009
nOS,$0.03996589
Dimecoin,$0.00000578
carVertical,$0.00044535
Paragon,$0.09916630
Sentinel Protocol,$0.01294940
VINchain,$0.00657697
Phore,$0.182914
Cloakcoin,$0.583678
Modum,$0.168598
Intelligent Investment Chain,$0.00040485
REMME,$0.00498829
EvenCoin,$0.251231
Smartshare,$0.00074842
Curecoin,$0.124723
Haven,$0.352413
Kambria,$0.00249651
SophiaTX,$0.00845057
ThingsOperatingSystem,$0.00571996
Quanta,$0.00008758
Bloom,$0.06105356
Global Currency Reserve,$0.02798461
CoinPoker,$0.01002254
Skrumble Network,$0.00283243
Xaurum,$0.03350580
ADAMANT Messenger,$0.02858660
Crowd Machine,$0.00182654
Edenchain,$0.00476011
SPINDLE,$0.00109579
webdollar,$0.00032634
QChi,$0.155271
FNKOS,$0.02027622
LightChain,$0.00002716
Spectre.ai Utility Token,$0.114726
Crown,$0.126888
Molecular Future,$0.05456170
Sentinel,$0.00161197
PlayChip,$0.00097080
Catex Token,$0.00085321
Decision Token,$0.06273780
Lition,$0.105935
Unibright,$0.01969101
Trinity Network Credit,$0.00558631
DAEX,$0.00763497
HYPNOXYS,$0.00013032
Switcheo,$0.00386557
Leverj,$0.00761435
Ultiledger,$0.00665287
Adshares,$0.08797525
Dipnet,$0.00053124
GrEarn,$0.00140085
Morpheus Labs,$0.01431973
LUXCoin,$0.353969
PAL Network,$0.00405102
Acute Angle Cloud,$0.00464827
Diamond,$0.821238
MTC Mesh Network,$0.00319600
Educoin,$0.00029175
Change,$0.08252691
Mooncoin,$0.00001158
Ordocoin,$0.00000607
Meritcoins,$0.00039751
Hiveterminal token,$0.00791578
BEAT,$0.00211033
Neumark,$0.08857099
BitMart Token,$0.02350370
CyberVeinToken,$0.01220075
Medicalchain,$0.00884945
STK,$0.00719525
COMSA,$0.07879585
Vexanium,$0.00466610
Nebula AI,$0.00146522
GINcoin,$0.408287
Pindex,$0.06048274
Effect.AI,$0.01193334
Zap,$0.01432119
Internxt,$3.87
Uquid Coin,$0.134203
Solarcoin,$0.04627267
Cobinhood,$0.00579020
Beetle Coin,$0.01278871
FintruX,$0.02780817
Neurotoken,$0.02792055
TrueFlip,$0.348614
NANJCOIN,$0.00011618
Liquidity Network,$0.05690760
Carlive Chain,$0.00039362
Tokenomy,$0.04826906
Manna,$0.00097333
BOX Token,$0.06477883
Sport and Leisure,$0.00935578
ugChain,$0.00410190
MIB Coin,$0.03890999
SafeCoin,$0.07603154
Rate3,$0.00226663
Pibble,$0.00044215
Etheroll,$0.468733
AI Doctor,$0.00509666
EBCoin,$0.00052459
Portal,$0.00534119
Bismuth,$0.125075
MonetaryUnit,$0.01419932
Winding Tree,$0.104841
Credo,$0.01017462
Mediex,$0.09565350
XEL,$0.02387021
PDX,$0.00107568
Rotharium,$0.846335
Popchain,$0.00294511
aXpire,$0.00748487
Marinecoin,$0.00021872
Hydro Protocol,$0.00576390
PalletOneToken,$0.00550449
Freyrchain,$0.00046922
Credit Tag Chain,$0.01678703
Omnitude,$0.05911377
InsurChain,$0.00019998
ETERBASE,$0.00357511
HorusPay,$0.00219818
IPChain,$0.06732173
Ormeus Coin,$0.122443
SUQA,$0.00333800
XP,$0.00000673
ToaCoin,$0.00059212
RevolutionVR,$0.00985783
NeuroChain,$0.00563411
WaykiChain,$0.244675
Phantasma,$0.03472027
Influence Chain,$0.01727191
Privatix,$1.84
Sphere,$0.569440
ABCC Token,$0.04376672
Utrum,$0.00922288
Presearch,$0.04644740
BANKEX,$0.02303573
Axe,$0.418031
The Abyss,$0.00814090
Merculet,$0.00043970
V-ID blockchain,$0.07132667
Friendz,$0.00321534
MoneyToken,$0.00021593
FairGame,$0.00338905
3DCoin,$0.02646927
Quadrant Protocol,$0.00395665
eXPerience Chain,$0.00001641
Vites,$0.00005956
KARMA Coin,$0.00034213
Quark,$0.00711729
Fedoracoin,$0.00000357
Circuits of Value,$0.00182664
Datum,$0.00182227
Soarcoin,$0.00182823
SpaceChain,$0.00844508
Open Platform,$0.00288296
SelfSell,$0.00455904
Infinitecoin,$0.00001956
DIMCOIN,$0.00083952
Consensus,$0.00142197
Paypex,$0.02572135
Cardstack,$0.00068687
Humaniq,$0.00934946
Traceability Chain,$0.00467720
Electronero,$0.240179
Yggdrash,$0.00034554
BitSend,$0.07363049
Ivy,$0.00516216
Photon,$0.00005919
HyperSpace (Synereo),$0.01650425
HollyWoodCoin,$0.04357281
Vectorspace AI,$0.160117
Aventus,$0.202381
Hi Mutual Society,$0.00405317
BitDice,$0.02331390
CryptalDash,$0.00669477
Omni,$2.63
EXRNchain,$0.00001753
Guppy,$0.02278987
CargoX,$0.01049840
Ubex,$0.00051742
LocalCoinSwap,$0.04670657
RightMesh,$0.02595880
Chronobank,$2.24
Qbao,$0.02348539
X-CASH,$0.00004571
Tolar,$0.00644652
INSTAR,$0.01313810
Blockparty,$0.06350192
Peculium,$0.00103571
FuzeX,$0.00202715
Snetwork,$0.01016144
HybridBlock,$0.00195371
Electronic Gulden,$0.07259733
Storiqa,$0.00015377
DNotes,$0.00888277
GRAPE,$0.00181537
Bithereum,$0.04835906
Electrify.Asia,$0.00278980
Earthcoin,$0.00011945
Patientory,$0.02133334
CannabisCoin,$0.00786297
Social Lending Token,$0.00582777
Pundi X NEM,$0.00055124
CoinEx Token,$0.02045931
StrongHands,$0.00000009
CashBet Coin,$0.00847618
SIBCoin,$0.08096959
Taiwan Digital Token,$0.01405646
Welltrado,$0.03481364
Qredit,$0.00197812
Transfercoin,$0.182203
Bodhi,$0.03454221
LikeCoin,$0.00275351
Hacken,$0.243826
Mysterium,$0.07125903
Cappasity,$0.00253768
sUSD,$0.998375
Stox,$0.02570309
HondaisCoin,$0.00002663
SureRemit,$0.00266616
OneLedger,$0.00360738
Midas Protocol,$0.00480220
Cloud-Insurance Chain,$0.00098183
Musicoin,$0.00085313
MATRYX,$0.05671853
Pluton,$1.53
KoreCoin,$0.596493
Digital Asset Guarantee Token,$0.06577142
U.CASH,$0.00012438
WeTrust,$0.01422891
OKCash,$0.01716801
PromotionChain,$0.00038463
FarmaTrust,$0.00271230
Bitmax Token,$0.09716851
Verasity,$0.00034873
sharder protocol,$0.00550423
Sakura Bloom,$0.00032865
Vezt,$0.01711226
Golos,$0.00804455
Bgogo Token,$0.00123828
Breezecoin,$0.03490186
NeedsCoin,$0.06068017
HOQU,$0.00709057
JOYSO,$0.01376038
Gentarium,$0.366426
Oduwa Coin,$0.08163140
Japan Content Token,$0.04288260
EncrypGen,$0.02744216
Winco,$0.00185640
Flixxo,$0.01499646
Espers,$0.00005064
CoTrader,$0.00007482
Cai Token,$0.00010988
Alphacat,$0.00035165
Bitcoin Private,$0.249853
Memetic,$0.03769875
SnowGem,$0.08203768
X8X Token,$0.01504545
Databits,$0.01166239
OTOCASH,$0.03039446
Ink Protocol,$0.00406283
Constellation,$0.00181566
EchoLink,$0.00372145
Pirl,$0.02612109
B3Coin,$0.00153446
Blocktrade,$0.02062630
Energi Token,$0.00083755
Elite,$0.00003889
ExclusiveCoin,$0.205137
SiaPrime Coin,$0.00006094
Sentinel Chain,$0.00360592
GMB,$0.00168487
Masari,$0.09686733
Datawallet,$0.00285876
FoodCoin,$0.00376045
AiLink Token,$0.00043091
NOLLAR,$1.05
ProChain,$0.02222513
UpToken,$0.01497719
Globatalent,$0.00225723
Origin Sport,$0.00567691
Scanetchain,$0.00304139
Social Send,$0.01498141
Hubii Network,$0.07739405
KNOW,$0.00849056
indaHash,$0.00312498
Formosa Financial,$0.00106212
iXledger,$0.01961752
Wixlar,$0.01091537
Rapids,$0.00020137
iXledger,$0.01961752
Autonio,$0.01137591
Mindexcoin,$0.02557854
Swarm City,$0.118188
DACC,$0.00015028
Zippie,$0.00246075
DOS Network,$0.01900964
Solaris,$0.578621
Truegame,$0.01135759
eBitcoin,$0.05175519
Tesla,$0.00167990
Freicoin,$0.00893953
CoinLion,$0.01285751
SDChain,$0.00726897
Ties.DB,$0.02377649
KuboCoin,$0.00001212
Savedroid,$0.00031917
DopeCoin,$0.00739006
CEEK Smart VR Token,$0.00288975
Master Swiscoin,$0.00094747
Syndicate,$0.02701904
DPRating,$0.00039721
PHANTOM,$0.00097025
COPYTRACK,$0.02619394
Banano,$0.00154206
CoinFi,$0.00458059
Moonlight Lux,$0.00174445
Bitether,$0.00362096
Uniform Fiscal Object,$0.00024356
Education Ecosystem,$0.00423573
Stakinglab,$2.19
Giant,$0.186379
BitcoinZ,$0.00021023
Deviant Coin,$0.04791654
Rivetz,$0.03620161
Bitdepositary,$0.00884191
Red,$0.00692509
Silent Notary,$0.00001000
adbank,$0.00135559
MainCoin,$0.00750307
0xcert,$0.00199402
AICHAIN,$0.00134136
win.win,$0.00067246
Kleros,$0.00840017
Atheneum,$0.03050348
Ergo,$1.09
Tratok,$0.00019267
Pura,$0.00467439
HUNT Token,$0.01215070
IQeon,$0.251492
Ethersocial,$0.01646446
InsurePal,$0.00378057
Essentia,$0.00100979
TrueDeck,$0.02738966
Coinfirm AMLT,$0.01043061
BitDegree,$0.00228067
ALAX,$0.00294100
Faceter,$0.00153816
Carboneum,$0.01721992
Kolion,$1.17
Hold,$0.00115728
ALQO,$0.01260657
Cpollo,$0.00009700
Bonpay,$0.08511632
ANON,$0.09548185
Mochimo,$0.993424
Bezop,$0.01449997
Zilla,$0.01639543
BlakeBitcoin,$0.03871008
Blue Protocol,$0.02197550
Noir,$0.04037993
Chimpion,$0.02143418
Decentralized Crypto Token,$0.00102255
GoByte,$0.147590
Gatcoin,$0.00112087
ODIN Blockchain,$0.00767650
MoonX,$0.08102484
Banca,$0.00004254
Lynx,$0.00000977
MyWish,$0.04254917
Traxia,$0.00219543
BZEdge,$0.00025349
On.Live,$0.03420440
Trittium,$0.00614991
Honest,$0.02289657
Real Estate Asset Ledger,$0.07153990
DAV Network,$0.00137641
GoNetwork,$0.01305311
Xenon,$0.00233730
DATx,$0.00075349
PlatonCoin,$0.259746
Pinkcoin,$0.00170485
Debitum Network,$0.00366938
TraDove,$0.00146112
Direct Insurance Token,$0.00155688
RealChain,$0.00123448
Sether,$0.04426027
KRYLL,$0.05807012
Thrive,$0.00603739
Bitcoin Plus,$5.80
Niobium Coin,$0.01310472
Terracoin,$0.03109243
Skillcoin,$0.00004446
EquiTrader,$0.05358336
WorldCoin,$0.00540183
Lampix,$0.00515987
ShopZcoin,$0.00042653
HOTchain,$0.00276974
ImageCoin,$0.09163870
Conceal,$0.211560
Blocktix,$0.01519160
Redfishcoin,$0.687927
CyClean,$0.00027051
Level-Up Coin,$0.00067645
Mocrow,$0.225161
Dether,$0.00796691
Eroscoin,$0.00362592
Shard Coin,$0.02807039
Alchemint,$0.00115509
Ozziecoin,$0.00005414
BitScreener,$0.00411366
LatiumX,$0.00636390
Olympus Labs,$0.01675508
Colu Local Network,$0.00478829
Project SHIVOM,$0.00069678
Gameflip,$0.01175870
Lethean,$0.00089578
Helium Chain,$0.07307177
Sequence,$0.01365796
ESBC,$0.04786449
Coinlancer,$0.00336824
Graviocoin,$0.00058990
uPlexa,$0.00045772
Gems,$0.00098372
IONChain,$0.00512803
Karbo,$0.08205168
IQF Token,$0.06400727
Atlant,$0.01618736
OBITS,$0.04052855
Ondori,$0.00001377
Hotbit Token,$0.00237560
IDEX Membership,$300.27
42-coin,"$14,274.66"
Colossuscoin V2,$0.00005310
Safex Cash,$0.02850953
Cryptopay,$0.01807679
Experty,$0.02056699
Ryo Currency,$0.05526282
Paws Funds,$0.248061
Kaicoin,$0.00053179
Birake,$0.00964877
Magnetcoin,$0.01520753
Crypto Sports,$0.415973
TrezarCoin,$0.00347073
CoinPark Token,$0.00157490
BitCar,$0.00354320
UniCoin,$0.176314
Maverick Chain,$0.00591153
BiblePay,$0.00036559
Potentiam,$0.01499083
Bounty0x,$0.00424390
Auroracoin,$0.03102365
Chaincoin,$0.02965451
X42 Protocol,$0.03110028
Tokugawa,$0.02991741
OWNDATA,$0.00004970
InterValue,$0.00400800
Pedity,$0.00039489
Vault Guardian Token,$0.00293465
Ethbits,$0.386178
EUNO,$0.02053614
0xBitcoin,$0.146931
DogeCash,$0.09595498
Skeincoin,$0.03178366
Mercury Protocol,$0.00415540
IP Exchange,$0.00058774
Naviaddress,$0.00057900
VOISE,$0.00097458
EventChain,$0.01660866
CarBlock,$0.00089183
BetterBetting,$0.00322357
Bob's Repair,$0.00290664
ClearPoll,$0.07199564
WAB Network,$0.00005655
MinexCoin,$0.114597
AdCoin,$0.01590493
Arbidex,$0.02510108
Triton,$0.02849662
Snovian.Space,$0.00144760
TALAO,$0.04877297
Bitcoin Scrypt,$0.02565616
ATBCoin,$0.01185971
OTCBTC Token,$0.02528572
NOS Project,$0.00396409
Dovu,$0.00195683
Eddie Coin,$0.00000150
Nimiq Exchange Token,$0.04675130
1SG,$0.729798
BuzzCoin,$0.00002438
Bitcoin Incognito,$0.05220857
Bethereum,$0.00130761
DraftCoin,$0.02546909
SKYFchain,$0.00239808
GoHelpFund,$0.01072690
Cashbery Coin,$0.07593148
Imbrex,$0.05704279
STRAKS,$0.00962524
Read,$0.00319878
Bitstar,$0.02215375
Smart Investment Fund Token,$0.913260
Blocksports Network,$0.00615969
2GIVE,$0.00085313
Narrative,$0.00944707
UChain,$0.00167951
ZCore,$0.118096
iEthereum,$0.02440942
Indorse,$0.01055322
SyncFab,$0.00240926
LiteDoge,$0.00002850
Bettex coin,$0.07824033
NobleCoin,$0.00018286
Ubcoin Market,$0.00125966
1World,$0.02046018
Giga Watt Token,$0.06680811
Verify,$0.02727206
LALA World,$0.00209767
Pesetacoin,$0.00304453
Nerva,$0.02614254
Fantomcoin,$0.05143674
Hero Node Token,$0.00042077
Block Array,$0.00612568
Opus,$0.00297926
Sapien,$0.00129223
HBZ,$0.00052981
The ChampCoin,$0.00238587
Neoscoin,$0.09519385
Jury.Online Token,$0.04384992
PlusOneCoin,$0.04822664
MNPCoin,$0.07477285
furtcoin,$0.00010853
Vulcano,$0.00188522
Starbase,$0.00196900
Rentberry,$0.00206679
Boldman Capital,$0.00066694
BlitzPredict,$0.00111017
Hackspace Capital,$0.00133106
Carboncoin,$0.00002502
Gladius Token,$0.02645928
Ixcoin,$0.01793836
DWS,$0.00125942
Bullion,$0.365172
Mchain,$0.03720806
CryptoDezireCash,$0.227381
Gambit,$0.326444
EuropeCoin,$0.03616744
GravityCoin,$0.184575
Bitradio,$0.02974060
EESTY COIN,$0.06144633
Soma,$0.03222549
XMED Chain Token,$0.00348753
Auxilium,$0.00342964
EXMR,$0.02502438
Zero,$0.06124250
Bee Token,$0.00155100
EXRT Network,$0.00115562
MetaMorph,$0.00546523
Hoolicoin,$0.09580341
Pylon Network,$0.872920
KIZUNACOIN,$0.00006030
Pigeoncoin,$0.00014212
Piggycoin,$0.00072772
LOBSTEX Coin,$0.02223275
IGToken,$0.00010491
Snowball,$0.00121817
Zetacoin,$0.00204628
